"occurrenceID","country","countryCode","stateProvince","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","datasetID",".ok_for_analysis","eventDate","changes","georef_class","ok.2","discardReason"
"PETE2025_001","Peru","PE","Cusco","Manu National Park",-13.096582,-71.630253,"112358","bertelmann_h_2025_PETE",TRUE,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_002","Peru","PE","Cusco","Manu National Park",-13.096582,-71.630253,"112358","bertelmann_h_2025_PETE",TRUE,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_003","Peru","PE","Cusco","Manu National Park",-13.096582,-71.630253,"112358","bertelmann_h_2025_PETE",TRUE,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_004","Peru","PE","Cusco","Manu National Park",-13.096582,-71.630253,"112358","bertelmann_h_2025_PETE",TRUE,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_005","Peru","PE","Cusco","Manu National Park",-13.096582,-71.630253,"112358","bertelmann_h_2025_PETE",TRUE,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_006","Peru","PE","Cusco","Manu National Park",-13.096639,-71.630328,"112374","bertelmann_h_2025_PETE",TRUE,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_007","Peru","PE","Cusco","Manu National Park",-13.096639,-71.630328,"112374","bertelmann_h_2025_PETE",TRUE,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_008","Peru","PE","Cusco","Manu National Park",-13.096639,-71.630328,"112374","bertelmann_h_2025_PETE",TRUE,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_009","Peru","PE","Cusco","Manu National Park",-13.096639,-71.630328,"112374","bertelmann_h_2025_PETE",TRUE,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_010","Peru","PE","Cusco","Manu National Park",-13.096639,-71.630328,"112374","bertelmann_h_2025_PETE",TRUE,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_011","Peru","PE","Cusco","Manu National Park",-13.0966799502664,-71.630343733381,"112379","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_012","Peru","PE","Cusco","Manu National Park",-13.0966799502664,-71.630343733381,"112379","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_013","Peru","PE","Cusco","Manu National Park",-13.0966799502664,-71.630343733381,"112379","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_014","Peru","PE","Cusco","Manu National Park",-13.0966799502664,-71.630343733381,"112379","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_015","Peru","PE","Cusco","Manu National Park",-13.0966799502664,-71.630343733381,"112379","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_016","Peru","PE","Cusco","Manu National Park",-13.0966279770461,-71.6304681515916,"112275","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_017","Peru","PE","Cusco","Manu National Park",-13.0966279770461,-71.6304681515916,"112275","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_018","Peru","PE","Cusco","Manu National Park",-13.0966279770461,-71.6304681515916,"112275","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_019","Peru","PE","Cusco","Manu National Park",-13.0966279770461,-71.6304681515916,"112275","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_020","Peru","PE","Cusco","Manu National Park",-13.0966279770461,-71.6304681515916,"112275","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_021","Peru","PE","Cusco","Manu National Park",-13.096499,-71.630288,"112329","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_022","Peru","PE","Cusco","Manu National Park",-13.096499,-71.630288,"112329","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_023","Peru","PE","Cusco","Manu National Park",-13.096499,-71.630288,"112329","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_024","Peru","PE","Cusco","Manu National Park",-13.096499,-71.630288,"112329","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_025","Peru","PE","Cusco","Manu National Park",-13.096499,-71.630288,"112329","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_026","Peru","PE","Cusco","Manu National Park",-13.09655,-71.63034,"112334","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_027","Peru","PE","Cusco","Manu National Park",-13.09655,-71.63034,"112334","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_028","Peru","PE","Cusco","Manu National Park",-13.09655,-71.63034,"112334","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_029","Peru","PE","Cusco","Manu National Park",-13.09655,-71.63034,"112334","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_030","Peru","PE","Cusco","Manu National Park",-13.09655,-71.63034,"112334","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_031","Peru","PE","Cusco","Manu National Park",-13.0966152671982,-71.6302107754581,"112345","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_032","Peru","PE","Cusco","Manu National Park",-13.0966152671982,-71.6302107754581,"112345","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_033","Peru","PE","Cusco","Manu National Park",-13.0966152671982,-71.6302107754581,"112345","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_034","Peru","PE","Cusco","Manu National Park",-13.0966152671982,-71.6302107754581,"112345","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_035","Peru","PE","Cusco","Manu National Park",-13.0966152671982,-71.6302107754581,"112345","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_036","Peru","PE","Cusco","Manu National Park",-13.0966934577877,-71.6303942848963,"112369","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_037","Peru","PE","Cusco","Manu National Park",-13.0966934577877,-71.6303942848963,"112369","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_038","Peru","PE","Cusco","Manu National Park",-13.0966934577877,-71.6303942848963,"112369","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_039","Peru","PE","Cusco","Manu National Park",-13.0966934577877,-71.6303942848963,"112369","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_040","Peru","PE","Cusco","Manu National Park",-13.0966934577877,-71.6303942848963,"112369","bertelmann_h_2025_PETE",TRUE,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_041","Peru","PE","Cusco","Manu National Park",-13.096553,-71.630156,"112333","bertelmann_h_2025_PETE",TRUE,"2025-04-18","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_042","Peru","PE","Cusco","Manu National Park",-13.096553,-71.630156,"112333","bertelmann_h_2025_PETE",TRUE,"2025-04-18","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_043","Peru","PE","Cusco","Manu National Park",-13.096553,-71.630156,"112333","bertelmann_h_2025_PETE",TRUE,"2025-04-18","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_044","Peru","PE","Cusco","Manu National Park",-13.096553,-71.630156,"112333","bertelmann_h_2025_PETE",TRUE,"2025-04-18","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_045","Peru","PE","Cusco","Manu National Park",-13.096553,-71.630156,"112333","bertelmann_h_2025_PETE",TRUE,"2025-04-18","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_046","Peru","PE","Cusco","Manu National Park",-13.0966069813156,-71.6302829927772,"112328","bertelmann_h_2025_PETE",TRUE,"2025-04-18","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_047","Peru","PE","Cusco","Manu National Park",-13.0966069813156,-71.6302829927772,"112328","bertelmann_h_2025_PETE",TRUE,"2025-04-18","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_048","Peru","PE","Cusco","Manu National Park",-13.0966069813156,-71.6302829927772,"112328","bertelmann_h_2025_PETE",TRUE,"2025-04-18","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
"PETE2025_049","Peru","PE","Cusco","Manu National Park",-13.0966069813156,-71.6302829927772,"112328","bertelmann_h_2025_PETE",TRUE,"2025-04-18","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","simple",TRUE,"corregido, campo de texto de localidad estaba mal"
