occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
carranza_av_2004_001,PreservedSpecimen,PhysicalObject,,JUA,GENUS,,"Carranza, A. V.",JUA:14736,"Carranza, A. V.",,carranza_av_2004,,,-24.0905667,-65.4740194,1997-12-20,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]"
carranza_av_2004_002,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V.",JUA:763,"Carranza, A. V.",,carranza_av_2004,0,,-24.1038583,-65.4776806,1997-12-27,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]"
carranza_av_2004_003,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V.",JUA:10702,"Carranza, A. V.",,carranza_av_2004,1,Peperomia lorentzii,-24.1009722,-65.4765,1998-01-16,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]"
carranza_av_2004_004,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V.",JUA:4514,"Carranza, A. V.",,carranza_av_2004,3,Begonia longipetiolata,-24.1001861,-65.4759694,1998-01-16,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]"
carranza_av_2004_005,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V.",JUA:6337,"Carranza, A. V.",,carranza_av_2004,0,,-24.0917444,-65.4712917,1998-01-30,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]"
carranza_av_2004_006,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V.",JUA:10700,"Carranza, A. V.",,carranza_av_2004,1,Peperomia lorentzii,-24.103525,-65.4754944,1998-05-09,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]"
carranza_av_2004_007,PreservedSpecimen,PhysicalObject,,JUA,GENUS,,"Carranza, A. V.",JUA:14735,"Carranza, A. V.",,carranza_av_2004,,,-24.1025167,-65.4841722,1999-12-17,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]"
carranza_av_2004_008,PreservedSpecimen,PhysicalObject,,JUA,GENUS,,"Carranza, A. V.",JUA:10701,"Carranza, A. V.",,carranza_av_2004,,,-24.1025167,-65.4841722,1999-12-17,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]"
carranza_av_2004_009,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V.",JUA:10693,"Carranza, A. V.",,carranza_av_2004,3,Peperomia hispidosa,-24.1110722,-65.4871806,2000-01-20,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]"
carranza_av_2004_010,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V.",JUA:10692,"Carranza, A. V.",,carranza_av_2004,3,Peperomia hispidosa,-24.1185361,-65.4812694,2000-03-20,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]"
carranza_av_2004_011,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V.",JUA:10694,"Carranza, A. V.",,carranza_av_2004,3,Peperomia hispidosa,-24.1075806,-65.4595472,2000-03-31,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]"
carranza_av_2004_012,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V.",JUA:14710,"Carranza, A. V.",,carranza_av_2004,1,Capanemia micromera,-24.1090972,-65.4575,2000-07-27,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]"
